Aprende Conmigo,36
Aprende Conmigo Periodo De Preparacion,28
Balde Rayado,200
Base De Bottellon Agua,180
Boligrafo Bic,5
Borrador ARTESCO,6
Bote Para Agua,30
Canasta Grande,180
Canasta Pequeña,100
Cepillo Inodoro Con Base,50
Cepillo Inodoro Sencillo,30
Colores Maped,65
Colores VIVO,21
Colores WIWI,20
Compas Genial,15
Compas VIVO,13
Corrector Artesco,14
Cuaderno 1 Materia Wiwi Hombre,22
Cuaderno 1 Materia Wiwi Mujer,22
Cuaderno 1M Copan Basico,35
Cuaderno 1M Copan Hombre,80
Cuaderno 1M Copan Unisex,80
Cuaderno 1M Genial,25
Cuaderno 1M Genial Mujer,25
Cuaderno 1M Quick,55
Cuaderno 1M Quick Mujer,55
Cuaderno Copan Cosido,55
Cuaderno VIVO 1M,25
Cuaderno VIVO Dibujo,10
Cuaderno VIVO Tareas,25
Cuaderno Vivo 1M Cuadricula,25
Cuaderno Wiwi 1 Materia,22
Escoba,50
Estante,1800
Estuche Geometrico Artesco,30
Ganchos Para Ropa,60
Grapadora Vivo,45
Jarra Con Vaso,120
Lamina De Foami,5
Lapiz Adhesivo UHU,25
Lapiz Grafito Deli,5
Lapiz Grafito Maped,8
Lapiz Grafito RAY,5
Lapiz Tinta Genial,5
Lapiz Tinta Hitec,5
Marcador Permanente Amigo,15
Marcador Permanente Vivelo,14
Marcadores Wiwi,25
Masquin Tape,13
Minas Pentel,10
Ollita Mega,40
Paila Economica,10
Paila Esparta,95
Paila Grande,95
Paila Lisa,15
Paila Mediana,90
Paila Molinera,35
Paila Moteada N2,20
Paila Moteada N3,25
Paila Moteada N4,45
Paila Moteada N6,70
Paila N14,35
Paila Ranchera Lazo,100
Pailas Con Agarraderas,40
Papelera,50
Pascon Con Tapa,75
Pascon Grande,45
Pascon N.6,10
Pascon Pequeño,25
Pasocon N 14,25
Pegamento Vivo,10
Pichel Con 4 Vasos,60
Porta Bianda,60
Porta Minas MEGAPOLIS,10
Recogedor De Basura,60
Sacapuntas MAPPEDS,6
Sacapuntas Tucan,3
Sandwichera,22
Silla Mecedora Plastico,1500
Silla Plastica,350
Subrayador Maped,20
Tape Pequeño,10
Tijeras Escolar,17
Tina De Lazo,220
Transportadores,10
Unico Corto Copan,74
Vaso Azul 3 Pcz,60
Vaso Cristal 6pak,90
Vasos Grande 2pz,50
Jabón Míster Max,25
Jabón Zixx,25
Ace Surf,9
Ace Xedex bolsita,10
Bote De Cloro Magia Blanca 1Lt,32
Cloro Magia Blanca En Bolsita,8
Suavitel Bolsita,7
Azistin Bolsita,8
Jabón Redondo Limpiox Pequeño,6
Jabón Redondo Limpiox Grande,12
Azistin Bote Pequeño,18
Azistin Bote Mediano,32
Margarina Clover,7
Manteca Clover Media,14
Manteca Clover Libra,25
Manteca Clover Kilo,54
Aceite Mazola Bolsa,40
Aceite Clover Bolsa,37
Sofrito Issima Bolsita,12
Pasta De Tomate Issima,12
Ketchup Naturas Bolsita,12
Pasta De Tomate Naturas,13
Espagueti Media Libra,9
Tallarines,14
Coditos,14
Caracolitos,14
Sardinas,28
Papel Aluminio Fans,39
Arroz Blanco Libra,12
Arroz Precocido Libra,13
Sopa Maggie Pequeña,6
Sopa Maggie Grande,12
Chile Olancho Pequeño,13
Chile Lata Malher,28
Vinagre Rico Mediano,35
Corn Flakes Pequeño,32
Cubitos,0.7
Lata Maiz Grande,35
Lata Maiz Pequeño,25
Consomé Pollo Y Res Maggie,3
Pañal M,6
Pañal G,6
Protector Diario Saba,25
Consomé Knorr,4
Batería Rayo Vac Grande,21.5
Papel Toalla,25
Acetaminofén,5
Amoxicilina,3
Ibuprofeno,3
Alka Seltzer,6
Panadol Niño,3
Tabcin Gripe y Tos,6
Latita De Mentolina,7
Maseca 2 Lb,28
Maseca 1Lb,13
Azucar  1Lb,13
Azucar 2 Lb,26
Azucar 4 Lb,52
Cafe Maya Bolsita,5
Cafe Oro Bolsita,6
Harina La Rosa 1 Lb,13
Sal Tortuga Bolsita,7
Tang Bolsita,6
Jugo Ya,6
Pasta Colgate,25
Toalla Kotex Esencial Con Alas,22
Toalla Kotex Esencial Sin Alas,22
Candelas,3
Fosforos,2
Leche Sula Larga Duración Medio Litro,19
Sopa Laky,15
Sopa Issima,14
Mayonesa Pequeña,16
Mostaza,14
Cepillo Dental,15
Pana De Losa Grande,60
Pana De Losa Mediana,30
Pana De Losa Pequeña,20
Pastes Para Losa,17
Shampoo Head Shoulder,5
Shampoo Sedal,5
Hidrocrema Sedal,5
Hidrocrema Pantene,5
Shampoo Pantene,5
Super Glue,8
Bote Ketchup Campo Fresco,34
Jugo Naturas De Pajilla,8
Jugo De Lata Natura,12
Corn Flakes Grande,96
Cereal Nestun,60
Avena,28
Café Imperial,5
Papel Higiénico Cariñoso,19
Comida Perro Rufo Adulto,19
Comida Perro Sabueso Adulto,16
Comida Perro Pet Master Adulto,18
Zambo Picante,6
Taqueritos Con Chile Y Sin Chile,6
Ranchitas Con Chile Y Sin Chile,6
Zibas,8
Raptor Mediana,22
Raptor Pequeña,15
Big Cola Chiquita,7
Churro Yumix,8
Chicharrón Picante,10
Galleta Salada,5
Soda,3
Coca-Cola 3L,65
Coca-Cola 2L,48
Coca-Cola 1.5L,35
Coca-Cola 1.1L,29
Coca-Cola 1.25L,32
Platos N 9,24
Plato N 8,22
Plato N 7,18
Plato N 6,17
Servilletas,16
Tenedor Grande,20
Tenedor Pequeño,18
Cucharitas,10
Vasos N 10 Plástico,34
Vaso N 8 Foam,18
Vaso N 7 Plástico,27
Vaso N 6 Foam,18
Vaso N 5 Plástico,20
Maizena Simple,15
Maizena Sabor,18
Galletas Chiky,7
Galleta Oreo,8
Galleta Coctel,2
Mayonesa Grande,110
Gelatina Ego,25
Gelatina Ego En Sobre,5
Churro Stixs,3
Gerber En Bolsita,18
Coca-Cola Portatil,20
Sofrito Criollo Naturas,12
1 Lempira,1
2 Lempiras,2
5 Lempiras,5
10 Lempiras,10
